id,username,text,sentimen,label
1,akhmad Zubaeri,repot orang miskin kerjanya serabutan,negatif,-1
2,Amin Udin,setiap desa kasih relawan alat tes pak semua tetap aman,positif,1
3,Amin Udin,kesadaran masyarakat rendah salahkan malah pemerintah aduh,negatif,-1
4,Amin Udin,semangat pak jokowi,netral,0
5,Amin Udin,ingin hidup normal,netral,0
6,Sarip sarip,lockdown cepat lambat kerjanya pemerintah,negatif,-1
7,riza alkaff,kurang cepat jokowi kurang tegas,negatif,-1
8,sekti tv,positif corona sakit corona disendirikan pulau pulau khusus corona indonesia sakit corona langsung dibawa ditaruh pulau sehingga demikian virus sulit menular orang,netral,0
9,Choiriyah official,nasib gimana tidak reda virus tidak kerja tidak makan,negatif,-1
10,Tanto Son,strategi gagal,negatif,-1
11,168 Always,biaya pengobatan corona seluruh indonesia gratis youtube ada beberapa komentar lihat katanya bayar ruang isolasi sendiri,netral,0
12,Srg MV,harap pemerintah menutup tempat seperti mall tol pelabuhan,positif,1
13,Srg MV,rakyat indonesia kerja sama pemerintah biar cepat selesai covid,positif,1
14,Hudi Prayetno,maruf mana tidak terlihat turun lapangan tidak seperti jusuf kalla dulu ada bencana langsung turun lapangan memberikan arahan bantuan,negatif,-1
15,Dipo Sakti,tolong terkait berhenti turis asing cina memulangkan turis asing cina sudah terlanjur masuk indonesia demi keamanan nasional indonesia,positif,1
16,Misbah Muhammd,tidak percaya sama virus corona,negatif,-1
17,Ucok tato Ucok,promosikan pariwisata kasih diskon besar biar masuk semua virus indonesia,negatif,-1
18,Irna Wansasi,ingin tanya wakil presiden mana tidak pernah terlihat,netral,0
19,Lutfi Mugiwara,semoga tidak ada jadi film penghuni wisma atlit,netral,0
20,Bambang Sutedjo,seharusnya mengatasi penularan covid corona marilah menggunakan pikiran logika nyata lebih dulu menomor duakan pikiran religius kemudian supaya penanganan menghindari penularan virus corona bisa berjalan efektif lebih cepat,positif,1
21,Dwi Heru Prasetyo,judulnya penuh strategi atasi bukan penuh strategi mencegah,netral,0
22,Keep Strong For J,ceritanya lockdown,netral,0
