id,text,sentimen,label
1,Rame2 dislike berita corona,negatif,-1
2,Pilih mati kena korona atau mati kelaparan  sekeluarga karna kepala keluarga ya ga bekerja. Sumbangan g tepat sasaran dari pemerintah.,negatif,-1
3,Pembahasan penanganan ATAU membuat projek bisnis baru ke masyarakat...,negatif,-1
4,mari membantu pemerintah agar virus corona segera berakhir,positif,1
5,"Gak ada satu pun hal positif yg disampaikan pemerintah, bahkan utk menyemangati "" optimis "" saja harus dgn syarat, bukan ajakan utk bersemangat menanggulangi bersama. ",negatif,-1
6,Jangan takabur dulu sebelum tuntas total. Nanti kaya kasus di india,positif,1
7,tolong pemerintah di survei yg benar biar bantuan sampai pd orang yg tepat,positif,1
8,"gimana mau pulih ,terkadang orang dari luar masuk indonesia dibiarkan saja tambah malas tambah berantakan mikir covid",negatif,-1
9,Kami adalah rakyat Indonesia yg mengalami dampak kofid 19 yg tidak pernah dapat bantuan baik bantuan pusat maupun daerah tepat x di kelurahan Jatibaru kota bima karena dikelurahan kami sistem yg d pake,negatif,-1
10,Gue pengen kena corona.,negatif,-1
11,Datang ke perumahan2 door to door biar cepat dan tidak menimbulkan kerumunan,positif,1
12,"Jangan hanya meningkatkan kapasitas rumah sakit, Tapi bagi Kami Rakyat Kecil gmn, Masker sekarang dimana2 kosong, bagaimana Kami mencegahnya... apakah di indonesia ingin pemecah rekor??
Selagi Covid19 belum tersebar luas kenapa tidak di adakan masker... apakah harus tunggu semua tertular virus baru di sediakan masker???  
Kenapa tidak dari sekarang aja",negatif,-1
13,BELUM LAH DI INDONESIA AJA MASIh BNYK ORANG ORANG MATA SIPIT,netral,0
14,"percuma urus virus, virus2 yang dulu saja berlalu dengan sendirinya,,,",negatif,-1
15,ngomong tanpa otak memang gampang.,negatif,-1
16,"Tutup lagi tempat mencari nafkah kita, psbb lgi dirumahkan lagi tidak kerja lagi tidak punya penghasilan lagi hadeuh terimakasih . Bosan sekali",negatif,-1
17,Sebenernya pemerintah tes ga sih apa cuma menunggu sampai orang tersebut sakit lalu dinyatakan covid,negatif,-1
18,Terima kasih banyak pak saya sudah di kasih bantuan,negatif,-1
19,Jangan beritakan corona supaya corona di indonesia nol /tidak. ada. gampang kan,negatif,-1
20,"terutama untuk daerah cilegon' di data mah semua di data"" masa orang yg ngontrak"" orang yg kecil'
bingung"" mungkin bagi mereka orang orang yg mampu dan kaya"" duit segitu gak brarti"" tpi bagi saya brarti"" dri dulu gak pernah dapat'' sementara orang orang dapat 'ribet amat harus ada kartu keluarga sejahtera dan penerima manfaat bantuan sosial",negatif,-1
21,ladang buat koruptor..,negatif,-1
22,"Masih banyak dana bantuan corona yang belum tepat sasaran ataupun masih salah sasaran bahkan ada pula yang belum mendapatkan nya sama sekali, selain warga dki itu sendiri ada beberapa kalangan dari para perantau yang ada di dki jakarta. Diantara mereka yang masih nurut sama koloni untuk tetap bertahan di jakarta",negatif,-1
23,Playing victim,negatif,-1
24,"Konspirasi cuk..
Pada lepas masker, biar virus varian kedua masuk lagi..  Untung lagi dia, lah dia yg produksi vaksin (Globalis)... Hehe",negatif,-1
25,"Perkembangan kasus korupsi dana covid kenapa gak di urus, karena sudah hal biasa di indonesia",negatif,-1
26,"Terimakasih metro tv atas infonya, semoga  ujian ini cepat  hilang dari negara kita,",netral,0
27,Indonesia negara lucu... yang pengusaha2 dapet bantuan.... tapi yang pemulung.. pekerja proyek.. kuli pangul dll gak dapet bantuan..... aku kasih tau jadi atasan yang adil.... besok  ada hari perhitungan....,negatif,-1
28,Maaf itu di bahas udah terlambat  dan tidak ada arti  tp klu mau di lokdowun  mau  di orang mana aja ni mau masuk ke indonesia. Kemarin. Lokdowun orang asing masuk jg  terus mau di lakduwun mau di  tutup semya  tidak apa 2 orang miskin tetap hrs mati  sudah jd resiko jd mau di lokdiwun  silah kan aja orang kecil ga garu 22222,negatif,-1
29,"Penanganan Covid-19 yang efektif akan mempercepat kasus ini berakhir. Jadi tolong masyarakat ayo sama2 patuhi anjuran pemerintah, agar covid segera selesai",positif,1
30,"Sy setuju Di lockdown, bagi pedagang ngga ush kuatir. Masih bs berjualan asal ngga mkn Di tempat, tegas lah pemerintah ini, bukan apa Di vaksin sementara masih ada yg dilonggarin,",positif,1
31,Saya gak mampu gak pernah dpt bantuan,negatif,-1
32,Jgn cuman cari untung doang cepet lockdown woi lemot amat ..,negatif,-1
33,"KUNCINYA ADA DI MASYARAKAT, KURANG KESADARAN. Padahal pemerintah udah berusaha semaksimal mungkin",positif,1
