id,username,text,sentimen,label
1,akhmad Zubaeri,Repot .!untuk orang miskin kayak saya yang kerjanya serabutan.....,negatif,-1
2,Amin Udin,Stiap desa kasih relawan dan alat tes .pak agar semua ttp aman.. ,positif,1
3,Amin Udin,kesadaran masyarakat yang rendah tapi yg di salahkan malah pemerintah hadehh,negatif,-1
4,Amin Udin,semangat terus pak jokowi,netral,0
5,Amin Udin,pengen hidup normal lagi,netral,0
6,Sarip sarip,"Lockdown cepat, lambat banget kerjanya pemerintah",negatif,-1
7,riza alkaff,"Sampean kurang cepet pakde., kurang tegas.",negatif,-1
8,sekti tv,"Yg positif corona yg sakit corona mereka disendirikan di pulau pulau khusus corona ,se indonesia kalau sakit corona langsung dibawa ditaruh di pulau itu sehingga, dengan demikian virus sulit menular ke orang",netral,0
9,Choiriyah official,"Nasib gue gimana kalo kaga reda "" nih virus  kaga kerja kaga makan gue",negatif,-1
10,Tanto Son,Strategi yang GAGAL,negatif,-1
11,168 Always,Biaya pengobatan Corona di seluruh Indonesia apakah gratis? Karena di YouTube ada beberapa komentar saya lihat katanya bayar ruang isolasi sendiri dll?,netral,0
12,Srg MV,"Saya harap pemerintah menutup tempat seperti mall , tol, pelabuhan .",positif,1
13,Srg MV,ayo dong rakyat indonesia kerja sama dengan pemerintah biar cepat selesai ini covid,positif,1
14,Hudi Prayetno,ma'ruf amin mana..?? kok gak nampak turun di lapangan gak kyak jusuf kalla dulu klo ada bencana langsung turun ke lapangan memberikan arahan dan bantuan. h,negatif,-1
15,Dipo Sakti,"Tolong yang terkait
Stop turis asing dari China dan memulangkan turis asing dari China yang sudah terlanjur masuk Indonesia demi keamanan nasional NKRI",positif,1
16,Misbah Muhammd,gue  gak percaya sama virus corona hahaha,negatif,-1
17,Ucok tato Ucok,"Promosikan aja terus priwisata kasih diskon besar2 , biar masuk semua virus ke indo",negatif,-1
18,Irna Wansasi,"Maaf nak tanya , wakil presiden kita mna ya , kok tak pernah nampak pun",netral,0
19,Lutfi Mugiwara,semoga gak ada yg jadi kan film penghuni wisma atlit,netral,0
20,Bambang Sutedjo,"Seharusnya untuk mengatasi  penularan CoVID 19 CORONA marilah kita menggunakan pikiran LOGIKA NYATA lebih dulu dan menomor duakan  pikiran RELiGIUS kemudian , agar supaya penanganan  menghindari penularan virus Corona bisa berjalan EFEKTIF lebih cepat, ",positif,1
21,Dwi Heru Prasetyo,"Judulnya full strategi atasi, bukan full strategi mencegah...",netral,0
22,Keep Strong For J,Ceritanya kita lagi lockdown nih?,netral,0
23,Shall 1245,"Lekas membaik negeriku,",netral,0
24,Ryan,"Sudah ada IMBAUAN dari pemerintah dan kepolisian jangan ada yang keluar rumah, kumpul kumpul dan nongkrong ga jelas tapi masyarakat nya KERAS KEPALA. Manusia kaya gitu seret aja ke rumah sakit supaya mengurangi PASIEN POSITIF CORONA",positif,1
25,Gunawan Wibisono,Ngomong apa sih.... Masukan terus aja lho tka cina biar ada pendapatan buat negara......,negatif,-1
26,pakde LHIEMBONK LHIEMBONK,dekat dengan ALLAH.. dan banyak bersedekah. corona akan segan sm kita..,netral,0
27,Wahyu Utama,Stop aja orang luar ke indonesia ,positif,1
28,Ony pramudya,Tutup pak presiden penerbangan dr luar negeri .,positif,1
29,ABENA,"jangan takut sama Corona, kita hanya di bodohi pemerintah",negatif,-1
30,BS," sekedar saran agar pemerintah bekerja sama dg ustad"" agar mengimbau masyarakat mencegah penularan Corona, masyarakat akan lebih patuh jika yg mengimbau adalah ustad ayo ulama' lengkap dg dalilnya,.",positif,1
31,asinar,"semoga segera bebas dari  virus CORONA, biar kembali seperti dulu lagi, amin",netral,0
32,èª…ä»™é’é›²å¿— é™¸é›ªçª,"saudara saudari di seluruh Indonesia mari kita bersatu menghentikan COViD  ini , karena virus  menular melalui hidung , mulut dan kulit , oleh karena itu  , jaga jarak 1 meter , pakai masker kalau keluar rumah , dan cuci tangan  dan muka kalau pulang rumah , hindarilah jabat jangan , pakailah cara lain bersalaman  terapkanlah ini di seluruh Indonesia",positif,1
33,rafaqira,"gimana sih pemerintah kok pilih kasih, masa tes nya hanya di kota, kita yang di desa juga butuh pak",negatif,-1
34,Delvi Picarima,"Sy tinggal di Jakarta, sangat kecewa sy melihat klakuan orang2 disini, dari yg remaja sampai yg sdh lansia sangat super susah di imbau untuk waspada corona, bahkan msh banyak yg beranggapan dan membuat lelucon tentang situasi pandemik global ini cuma isu yg dibesar2kan . entah sudah berapa banyak carrier disini yg belum terdeteksi",positif,1
35,Abdullah Indra,"Gratis kan biaya internet dong Pemerintah , 2 bulan gitu.. Jamin auto isolasi diri dirumah... biar mantengin drama korea aja buat social distancing.. haha",netral,0
36,Jonh Thomas 17513277,"Tka dr china jg msih bebas msk ke indonesia, cntohnya di kendari.. import virus corona",negatif,-1
37,Mochamad Ridwan,"sedia kan makanan untuk diam dirumah , soalnya kerja harian kaya pedagang dll pasti gak akan diem dirumah karna harus mencari nafkah keluarga makan dsb. 
Ini real cerita pedagang, tukang parkir, tukang sampah dsb.",positif,1
38,Kang Dadang Sutisna,Sehat selalu pak de.. Kami siap lawan corona.. Siap patuhi amanat pemerintah,positif,1
39,guE boCilL,harusnya binatang buas dikebun binatang pd dibebas liarkan biar orang2 pd diam di rumah,positif,1
40,Mas Bei,saya ga tega sama pemerintah jika di salahkan terus. apalgi ini dollar mau 16ribu.. yg bisa bisa menimbulkan krisis... Semoga pemerintah bisa melalui cobaan ini.. Dan semua rakyat indonesia bersatu mendukung terus apa yg telah di upayakan oleh pemerintah... Demi kebaikan rakyat indonesia semua,positif,1
41,adammi,lockdown ini mungkin udah usaha yang terbaik dari pemerintah,positif,1
42,renaa23,Kira kira lockdown adalah jalan yg terbaik.. Meski harus banyak resiko... Yg akan kita lalui... Asalkan rakyat indonesia kompak.. Mematuhi insyaallah pasti bisa,positif,1
43,Pandito Putro,Rapid test ini apakah gratis ? Krn untuk test covid 19 ini di RS biayanya 500-600 ribu,netral,0
44,Maya Maryanti,Kebayang ga pemerintah pusing nya kayak apa siap kan ini semua. ayo lah kita patuhi aturan pemerintah demi kebaikan indonesia,positif,1
45,Maya Maryanti,ayo lah ini masalah bersama.. .ikuti aturan dari pemerintah,positif,1
46,IxWin Gt,Semoga sebelum bulan puasa covid sudah hilang amin,netral,0
47,Hendra Dharmawi,"Pak tolong masker di sumbar ditambah pak, Semoga Tuhan melindungi kita semua",positif,1
48,Kang Victz,"Ketika negara lain sudah mengurangi suspect corona di indonesia justru terus bertambah korban meninggal..
FAKTA.. Karena pemerintah kerjanya lambat",negatif,-1
49,Mein Liebe,"Buat pemerintah, tolong diperhatikan juga untuk keamanan dari para petugas medis dan instansi medis yang berjuang. stok alat pelindung diri spt masker, dll tolong segera dipenuhi. kalau bisa untuk instansi2 yang terkait dengan penanganan corona mendapat subsidi biaya operasional terkait listrik, air, gas, dll.",positif,1
50,riky septian,Wakil presiden kita kemana ya? kok tidak ada kerja nya ,negatif,-1
51,Moh Syahid,Indonesia ini gak setegas seperti saudi arabia ...,negatif,-1
52,KANG CIMOT,Saya mau nanya jika kena Corona apakah pas di isolasi bakal bayar?,netral,0
53,ilyas kholil,"saya juga bingung pak, mau kasih makan apa anak dan istri di rumah kalau lockdown",negatif,-1
54,Syah Fishing,bentar lagi indonesia makin padat pendukduknya amin.,netral,0
55,Richie Chandra,"kebanyakan bohong pemerintah, janji katanya bantu rakyat miskin, buktinya nol",negatif,-1
56,Queflis JJ,"Para kader partai pada kemana, giliran kampaye aja bagi2 kaos sama spanduk.. Skrang ada virus kemana.. Bagi2 masker sama antis lah jika kalian mau di pilih sama rakyat",netral,0
57,j j,Ayo cepat pk. jgn lambat menangani jgn sampai meluas .virus ini. sayangi rakyatnya dan rakyat kecil.,positif,1
58,Oski Blarblar,"Terlihat belom siap, padahal udah peringati sama WHO jauh beberapa bulan sebelum covid19 masuk indonesia, lucunya indonesiaku awokwkwk",negatif,-1
59,Zulkifli Adi,Ngomong doang lu antek cina,negatif,-1
60,K.O.K,"Ini masih dalam spekulasi dan dugaan saya, menurut saya kapur barus dan suara berfrekuensi tinggi mampu mencegah Covid-19",netral,0
61,Putri Yusuf,"Smg virus di dunia ini cpt berlalu dn musnah jgn pernah kembali lagi,,",netral,0
62,Bony Nurzaman,Virus cina,negatif,-1
63,Ajie Setiaji,"hasil rapid test seharusnya diumumkan, supaya publik tahu berapa yang positif dan berapa yang negatif, yang mencerminkan proporsi penyebaran di antara penduduk. Penyebaran akan berkurang kalau yang positif lebih banyak, artinya yang kebal sudah bamyak",negatif,-1
64,Iing Syamsul Bachri,Pak jokowi terima kasih  atas fasilitas... dan pelayanan pemerintah..,positif,1
65,Dandi Saputra,"Ya Allah ... sebentar lagi ramadhan... hilangkanlah virus corona di muka bumi ini, agar kami semua umat muslim bisa kembali beribadah dengan leluasa ,biar anak2 bisa kmbali mnuntut ilmu, biar anak2 bisa bermain dengan ceria... mari saudaraku seiman kita minta brsma2 agar semua cepat membaik...",netral,0
66,Arin Khoir,"pak.. sebaiknya ceritakan gaya hidup/ pola hidup orang2 yg sembuh, yg meninggal, yg kontak kasus tp tidak terpapar dan kontak terpapar.. biar jd bahan masyarakat bagaimana cara mengatasi virus ini",positif,1
67,Reza Andre,"WNA dilarang masuk ke indonesia, bukan malah dibebasin",negatif,-1
